epoch,step,train_MAE,train_RMSE,train_Total_Loss,val_MAE,val_RMSE,val_Total_Loss
0,1,,,,9.541253089904785,11.316783905029297,64.04695129394531
0,1,9.008241653442383,10.58510971069336,56.423343658447266,,,
1,3,,,,8.827705383300781,10.723527908325195,57.54026794433594
1,3,8.753406524658203,10.421330451965332,54.454437255859375,,,
2,5,,,,8.010627746582031,10.041738510131836,50.53047180175781
2,5,8.08902359008789,10.086967468261719,50.97920227050781,,,
3,7,,,,7.154606819152832,9.248796463012695,43.00910568237305
3,7,7.397154331207275,9.216397285461426,44.0094108581543,,,
4,9,,,,6.221437454223633,8.324292182922363,35.07789993286133
4,9,6.751741409301758,8.985357284545898,40.633785247802734,,,
5,11,,,,5.342592239379883,7.267931938171387,27.063438415527344
5,11,5.003314971923828,6.833645343780518,23.85304069519043,,,
6,13,,,,4.605171203613281,6.208223819732666,19.969112396240234
6,13,4.815613269805908,6.716257095336914,23.211790084838867,,,
7,15,,,,4.249047756195068,5.366401672363281,14.890597343444824
7,15,4.179349899291992,5.527611255645752,15.811308860778809,,,
8,17,,,,4.252982139587402,5.103236675262451,13.599555015563965
8,17,4.200186729431152,5.332356929779053,14.60400390625,,,
9,19,,,,4.381150722503662,5.097093105316162,14.297927856445312
9,19,4.054378986358643,4.8071088790893555,12.36395263671875,,,
10,21,,,,4.240598678588867,4.992456436157227,13.634435653686523
10,21,4.354582786560059,5.0851922035217285,14.456390380859375,,,
11,23,,,,3.9809141159057617,4.841084957122803,12.60835075378418
11,23,4.1976494789123535,4.866869926452637,13.194225311279297,,,
12,25,,,,3.834446430206299,4.85391902923584,12.499938011169434
12,25,3.7900712490081787,4.609509468078613,11.625332832336426,,,
13,27,,,,3.800243854522705,4.934078693389893,12.836003303527832
13,27,3.660414695739746,4.617623329162598,11.469727516174316,,,
14,29,,,,3.8185951709747314,5.0115203857421875,13.208984375
14,29,3.495865821838379,4.725144863128662,11.851847648620605,,,
15,31,,,,3.836334228515625,5.050624370574951,13.402033805847168
15,31,3.266334056854248,4.1439924240112305,9.073539733886719,,,
16,33,,,,3.834390163421631,5.041015625,13.358124732971191
16,33,3.538003921508789,4.7783589363098145,11.99316692352295,,,
17,35,,,,3.816425323486328,4.99041748046875,13.116032600402832
17,35,3.2546699047088623,4.168237686157227,9.229564666748047,,,
18,37,,,,3.7915432453155518,4.916157245635986,12.763704299926758
18,37,3.668400526046753,4.756229400634766,12.011876106262207,,,
19,39,,,,3.771411895751953,4.849654197692871,12.45047664642334
19,39,3.6853134632110596,4.9189677238464355,12.805909156799316,,,
20,41,,,,3.76849627494812,4.795290946960449,12.20694637298584
20,41,3.6187632083892822,4.655651092529297,11.709451675415039,,,
21,43,,,,3.777466058731079,4.746175289154053,12.009895324707031
21,43,3.444844961166382,4.283012390136719,9.903039932250977,,,
22,45,,,,3.786921977996826,4.713747978210449,11.88659381866455
22,45,3.465757131576538,4.387851238250732,10.322528839111328,,,
23,47,,,,3.7900891304016113,4.68563175201416,11.772944450378418
23,47,3.5483975410461426,4.194620132446289,9.650867462158203,,,
24,49,,,,3.7764954566955566,4.65968656539917,11.652653694152832
24,49,3.621419906616211,4.321900844573975,10.334035873413086,,,
25,51,,,,3.751659393310547,4.629773139953613,11.50992488861084
25,51,3.5720298290252686,4.311997413635254,10.219959259033203,,,
26,53,,,,3.7210304737091064,4.593931198120117,11.343573570251465
26,53,3.3878719806671143,4.218658447265625,9.55019474029541,,,
27,55,,,,3.6838085651397705,4.554312229156494,11.163300514221191
27,55,3.3886282444000244,4.152003288269043,9.321076393127441,,,
28,57,,,,3.641768217086792,4.509041786193848,10.961935043334961
28,57,3.568312883377075,4.473233222961426,10.835445404052734,,,
29,59,,,,3.5961077213287354,4.450802326202393,10.711843490600586
29,59,3.3569161891937256,4.16552209854126,9.38506031036377,,,
30,61,,,,3.5459673404693604,4.380972862243652,10.419221878051758
30,61,3.410804033279419,4.281179428100586,9.90932559967041,,,
31,63,,,,3.4911937713623047,4.3014235496521,10.091353416442871
31,63,3.2952845096588135,4.049121379852295,9.012377738952637,,,
32,65,,,,3.4380643367767334,4.21820592880249,9.751161575317383
32,65,3.3103108406066895,4.193325996398926,9.505277633666992,,,
33,67,,,,3.404076099395752,4.140263080596924,9.427309036254883
33,67,3.372095823287964,4.1754937171936035,9.451894760131836,,,
34,69,,,,3.361752510070801,4.059194564819336,9.0894136428833
34,69,3.207961320877075,3.872523307800293,8.25601863861084,,,
35,71,,,,3.297482490539551,3.9727678298950195,8.725652694702148
35,71,3.2907612323760986,4.051574230194092,9.022991180419922,,,
36,73,,,,3.2043612003326416,3.8703479766845703,8.310052871704102
36,73,3.212904453277588,3.821789026260376,8.152176856994629,,,
37,75,,,,3.1693618297576904,3.8444058895111084,8.143017768859863
37,75,3.208306312561035,3.88391375541687,8.305437088012695,,,
38,77,,,,3.142082691192627,3.81730055809021,8.006711959838867
38,77,3.1452300548553467,3.851301670074463,7.987880229949951,,,
39,79,,,,3.044229030609131,3.725905179977417,7.666282653808594
39,79,2.770432949066162,3.3915507793426514,6.147495746612549,,,
40,81,,,,3.059614419937134,3.7622413635253906,7.776055335998535
40,81,3.048137664794922,3.7041454315185547,7.545858383178711,,,
