epoch,step,train_loss_epoch,train_loss_step,val_MAE
0,2,,,1.2759257555007935
0,2,46.26858139038086,,
1,5,,,1.4231712818145752
1,5,3.3366291522979736,,
2,8,,,1.3275175094604492
2,8,2.065159320831299,,
3,11,,,1.2289478778839111
3,11,1.556343913078308,,
4,14,,,1.1690903902053833
4,14,1.332381010055542,,
5,17,,,1.2171361446380615
5,17,1.278311848640442,,
6,20,,,1.2690744400024414
6,20,1.3277875185012817,,
7,23,,,1.2727941274642944
7,23,1.3645447492599487,,
8,26,,,1.2374106645584106
8,26,1.3567472696304321,,
9,29,,,1.18178391456604
9,29,1.3208198547363281,,
10,32,,,1.1587026119232178
10,32,1.2934731245040894,,
11,35,,,1.164637804031372
11,35,1.289228081703186,,
12,38,,,1.1669286489486694
12,38,1.2911947965621948,,
13,41,,,1.1627929210662842
13,41,1.2973145246505737,,
14,44,,,1.1569983959197998
14,44,1.2945079803466797,,
15,47,,,1.151789903640747
15,47,1.2828660011291504,,
16,49,,1.2753299474716187,
16,50,,,1.1462233066558838
16,50,1.2848782539367676,,
17,53,,,1.1439318656921387
17,53,1.2812060117721558,,
18,56,,,1.143239140510559
18,56,1.2847137451171875,,
19,59,,,1.1442927122116089
19,59,1.2836984395980835,,
20,62,,,1.146651029586792
20,62,1.2832660675048828,,
21,65,,,1.148311734199524
21,65,1.2790817022323608,,
22,68,,,1.1501046419143677
22,68,1.2806057929992676,,
23,71,,,1.151006817817688
23,71,1.274010181427002,,
24,74,,,1.1504392623901367
24,74,1.2745146751403809,,
25,77,,,1.1485263109207153
25,77,1.2763266563415527,,
26,80,,,1.1467517614364624
26,80,1.2712453603744507,,
27,83,,,1.1446928977966309
27,83,1.2799187898635864,,
28,86,,,1.143823504447937
28,86,1.2750412225723267,,
29,89,,,1.14370596408844
29,89,1.2685860395431519,,
30,92,,,1.1440519094467163
30,92,1.266809344291687,,
31,95,,,1.1441656351089478
31,95,1.2637336254119873,,
32,98,,,1.1436189413070679
32,98,1.2572420835494995,,
33,99,,1.1471160650253296,
33,101,,,1.1421351432800293
33,101,1.2607362270355225,,
34,104,,,1.141392707824707
34,104,1.2514578104019165,,
35,107,,,1.1404746770858765
35,107,1.242940068244934,,
36,110,,,1.1380759477615356
36,110,1.240925669670105,,
37,113,,,1.13615083694458
37,113,1.226622223854065,,
38,116,,,1.1344680786132812
38,116,1.209169864654541,,
39,119,,,1.1338177919387817
39,119,1.188278079032898,,
40,122,,,1.1336647272109985
40,122,1.1708635091781616,,
41,125,,,1.1190083026885986
41,125,1.1369805335998535,,
42,128,,,1.0894522666931152
42,128,1.098716139793396,,
43,131,,,1.0725464820861816
43,131,1.0452643632888794,,
44,134,,,1.0661495923995972
44,134,1.0069842338562012,,
45,137,,,1.040598750114441
45,137,0.9504919052124023,,
46,140,,,1.041191577911377
46,140,0.8740332722663879,,
47,143,,,0.9931274652481079
47,143,0.8222516179084778,,
48,146,,,0.9715627431869507
48,146,0.7808177471160889,,
49,149,,0.8368722796440125,
49,149,,,0.9699515104293823
49,149,0.7045025825500488,,
50,152,,,1.0249143838882446
50,152,0.7165781855583191,,
51,155,,,0.9902986884117126
51,155,0.7083754539489746,,
52,158,,,0.9894369840621948
52,158,0.6714157462120056,,
53,161,,,1.0483925342559814
53,161,0.5692133903503418,,
54,164,,,1.1051769256591797
54,164,0.5877378582954407,,
55,167,,,1.1338824033737183
55,167,0.575562596321106,,
56,170,,,0.9070831537246704
56,170,0.5136339664459229,,
57,173,,,1.0102310180664062
57,173,0.539950966835022,,
58,176,,,0.9036709070205688
58,176,0.5396630167961121,,
59,179,,,1.3154996633529663
59,179,0.5304596424102783,,
60,182,,,1.0193991661071777
60,182,0.643129825592041,,
61,185,,,1.4343845844268799
61,185,0.5539615154266357,,
62,188,,,0.9323128461837769
62,188,0.6556037664413452,,
63,191,,,0.8939560651779175
63,191,0.5473964810371399,,
64,194,,,0.9449821710586548
64,194,0.5405723452568054,,
65,197,,,1.354040265083313
65,197,0.5321639776229858,,
66,199,,0.49208158254623413,
66,200,,,0.8961830139160156
66,200,0.5069910883903503,,
67,203,,,0.9271395206451416
67,203,0.5529929995536804,,
68,206,,,0.9496588110923767
68,206,0.4197629690170288,,
69,209,,,0.9228269457817078
69,209,0.5156498551368713,,
70,212,,,0.9611262679100037
70,212,0.3788774311542511,,
71,215,,,0.8987879753112793
71,215,0.39725732803344727,,
72,218,,,0.9815438985824585
72,218,0.5268308520317078,,
73,221,,,0.8799947500228882
73,221,0.3957250118255615,,
74,224,,,1.3003764152526855
74,224,0.37319374084472656,,
75,227,,,0.9323365688323975
75,227,0.3531297743320465,,
76,230,,,0.9794438481330872
76,230,0.3567701280117035,,
