epoch,step,train_MAE,train_RMSE,train_Total_Loss,val_MAE,val_RMSE,val_Total_Loss
0,1,,,,2.777958869934082,4.014160633087158,8.110193252563477
0,1,3.2357866764068604,4.948302745819092,12.30787467956543,,,
1,3,,,,2.4552297592163086,3.4770874977111816,6.185579776763916
1,3,2.9419121742248535,4.415531158447266,9.815556526184082,,,
2,5,,,,2.345612049102783,3.103771209716797,5.089190483093262
2,5,2.5746304988861084,3.4258251190185547,6.07058048248291,,,
3,7,,,,2.556126117706299,3.126274585723877,5.234118461608887
3,7,2.597160816192627,3.206690549850464,5.597400665283203,,,
4,9,,,,2.710179328918457,3.282376289367676,5.739014148712158
4,9,2.725677967071533,3.218848466873169,5.80671501159668,,,
5,11,,,,2.6720075607299805,3.278226852416992,5.688397407531738
5,11,2.8562724590301514,3.261430025100708,6.188936233520508,,,
6,13,,,,2.5422797203063965,3.1762733459472656,5.335240364074707
6,13,2.8287181854248047,3.345853328704834,6.423274517059326,,,
7,15,,,,2.408134937286377,3.087413787841797,5.062281131744385
7,15,2.5744431018829346,3.161634922027588,5.672079086303711,,,
8,17,,,,2.3173744678497314,3.0721607208251953,5.012639999389648
8,17,2.5543856620788574,3.243791103363037,5.898029804229736,,,
9,19,,,,2.2661733627319336,3.1002187728881836,5.087835311889648
9,19,2.4580800533294678,3.385223150253296,6.151684761047363,,,
10,21,,,,2.2641303539276123,3.120457649230957,5.144676208496094
10,21,2.541644811630249,3.58608341217041,6.8766326904296875,,,
11,23,,,,2.2882981300354004,3.1247072219848633,5.154876232147217
11,23,2.3255386352539062,3.1034090518951416,5.274654865264893,,,
12,25,,,,2.319714069366455,3.121490716934204,5.141894340515137
12,25,2.489819288253784,3.3090293407440186,5.983800888061523,,,
13,27,,,,2.361961841583252,3.115823268890381,5.119231224060059
13,27,2.451669454574585,3.4069135189056396,6.2260050773620605,,,
14,29,,,,2.405616521835327,3.116725444793701,5.115077495574951
14,29,2.5390326976776123,3.501660108566284,6.633543014526367,,,
15,31,,,,2.443025588989258,3.127230405807495,5.1389875411987305
15,31,2.426072835922241,3.0397586822509766,5.202116966247559,,,
16,33,,,,2.464319944381714,3.1379051208496094,5.166648864746094
16,33,2.510322093963623,3.242340564727783,5.745259761810303,,,
17,35,,,,2.4652411937713623,3.1391429901123047,5.171357154846191
17,35,2.4569919109344482,3.094717502593994,5.327362060546875,,,
18,37,,,,2.440070152282715,3.124415397644043,5.134560585021973
18,37,2.573331356048584,3.324276924133301,6.094658851623535,,,
19,39,,,,2.3950674533843994,3.0987136363983154,5.069286346435547
19,39,2.584838628768921,3.414261817932129,6.3811726570129395,,,
20,41,,,,2.3464198112487793,3.0736498832702637,5.006250381469727
20,41,2.5938236713409424,3.448282241821289,6.535307884216309,,,
21,43,,,,2.3166396617889404,3.0554821491241455,4.961292266845703
21,43,2.299102544784546,3.0667831897735596,5.316311359405518,,,
22,45,,,,2.3012914657592773,3.0440683364868164,4.932779788970947
22,45,2.298231363296509,2.9868416786193848,5.094414710998535,,,
23,47,,,,2.2986934185028076,3.0342793464660645,4.9076385498046875
23,47,2.248143196105957,2.965733766555786,4.86806058883667,,,
24,49,,,,2.3032655715942383,3.0256659984588623,4.885228157043457
24,49,2.4389567375183105,3.1903350353240967,5.680572509765625,,,
25,51,,,,2.3095438480377197,3.018918037414551,4.867635726928711
25,51,2.3808841705322266,3.1271510124206543,5.4373779296875,,,
26,53,,,,2.324683666229248,3.0162763595581055,4.860528945922852
26,53,2.1723334789276123,2.6972620487213135,4.082886219024658,,,
27,55,,,,2.3212881088256836,3.0088346004486084,4.840626239776611
27,55,2.6072394847869873,3.4705936908721924,6.609550476074219,,,
28,57,,,,2.3094422817230225,2.9988181591033936,4.814027309417725
28,57,2.2824013233184814,2.8399670124053955,4.604918003082275,,,
29,59,,,,2.285386323928833,2.985109329223633,4.7771830558776855
29,59,2.4287030696868896,3.109423875808716,5.420422554016113,,,
30,61,,,,2.2528257369995117,2.966942310333252,4.723950386047363
30,61,2.323819160461426,3.011878490447998,5.019400596618652,,,
31,63,,,,2.207159996032715,2.9416918754577637,4.645636081695557
31,63,2.362070322036743,3.045358180999756,5.249422073364258,,,
32,65,,,,2.164126396179199,2.9153714179992676,4.563033103942871
32,65,2.3824870586395264,3.0777971744537354,5.359215259552002,,,
33,67,,,,2.178180456161499,2.9315061569213867,4.595026969909668
33,67,2.303342580795288,3.0372231006622314,5.122956275939941,,,
34,69,,,,2.180609941482544,2.9339001178741455,4.586785316467285
34,69,2.268207311630249,2.9775052070617676,4.9422078132629395,,,
35,71,,,,2.2172889709472656,2.9819910526275635,4.712440490722656
35,71,2.0568559169769287,2.551318883895874,3.64841365814209,,,
36,73,,,,2.2786808013916016,3.056812286376953,4.956752777099609
36,73,2.1450300216674805,2.7059261798858643,4.08604621887207,,,
37,75,,,,2.274808168411255,3.062958002090454,4.971865653991699
37,75,2.181839942932129,2.765028476715088,4.113008499145508,,,
38,77,,,,2.263012170791626,3.0649869441986084,4.973190784454346
38,77,2.098174810409546,2.7353262901306152,4.07951021194458,,,
39,79,,,,2.2578155994415283,3.0721325874328613,4.990572929382324
39,79,2.1601650714874268,2.8260130882263184,4.411259174346924,,,
40,81,,,,2.269460916519165,3.0910725593566895,5.040981292724609
40,81,2.0917274951934814,2.732529640197754,4.1394124031066895,,,
41,83,,,,2.2975807189941406,3.1229796409606934,5.128640174865723
41,83,2.213324546813965,2.9782280921936035,4.848109245300293,,,
42,85,,,,2.3327431678771973,3.16819429397583,5.257219314575195
42,85,1.9267373085021973,2.5317399501800537,3.527775526046753,,,
43,87,,,,2.372865676879883,3.2135963439941406,5.397401332855225
43,87,2.0840773582458496,2.7601611614227295,4.066900253295898,,,
44,89,,,,2.400388240814209,3.2420315742492676,5.489011764526367
44,89,2.083707571029663,2.7233541011810303,4.120202541351318,,,
45,91,,,,2.410452365875244,3.257249116897583,5.534671783447266
45,91,2.0708882808685303,2.769787073135376,4.11976957321167,,,
46,93,,,,2.4101133346557617,3.2665393352508545,5.559932708740234
46,93,2.171187400817871,2.972350835800171,4.76692533493042,,,
47,95,,,,2.40474009513855,3.27577805519104,5.584751129150391
47,95,2.0816359519958496,2.8847720623016357,4.492627143859863,,,
48,97,,,,2.4071033000946045,3.288231372833252,5.625827789306641
48,97,2.055133581161499,2.7878634929656982,4.201600551605225,,,
49,99,,,,2.434204578399658,3.3213396072387695,5.742416858673096
49,99,1.9383375644683838,2.652665138244629,3.825214147567749,,,
50,101,,,,2.4637949466705322,3.3774476051330566,5.936737537384033
50,101,1.974208950996399,2.6464104652404785,3.812194585800171,,,
51,103,,,,2.449514389038086,3.3635363578796387,5.89056921005249
51,103,1.9520947933197021,2.60343074798584,3.7288920879364014,,,
52,105,,,,2.4095141887664795,3.333824396133423,5.766416549682617
52,105,1.9829906225204468,2.615309238433838,3.873368263244629,,,
53,107,,,,2.3932998180389404,3.3288774490356445,5.741175651550293
53,107,2.058565855026245,2.701802968978882,3.9685778617858887,,,
54,109,,,,2.3979616165161133,3.329598903656006,5.754749774932861
54,109,2.1580443382263184,2.8759920597076416,4.493257522583008,,,
55,111,,,,2.4009041786193848,3.323336124420166,5.752474308013916
55,111,2.020613193511963,2.653888463973999,3.83697247505188,,,
56,113,,,,2.4099814891815186,3.3281939029693604,5.786630630493164
56,113,2.037562131881714,2.7150278091430664,4.035733222961426,,,
57,115,,,,2.426891803741455,3.337980270385742,5.814119815826416
57,115,2.0876197814941406,2.7264251708984375,4.115624904632568,,,
58,117,,,,2.4426469802856445,3.348381757736206,5.847424030303955
58,117,1.9809324741363525,2.572317600250244,3.612820625305176,,,
59,119,,,,2.425032377243042,3.33659029006958,5.793510437011719
59,119,1.9613040685653687,2.568352699279785,3.6947505474090576,,,
60,121,,,,2.391279697418213,3.3127896785736084,5.701556205749512
60,121,1.9074102640151978,2.5537590980529785,3.6083436012268066,,,
61,123,,,,2.3598737716674805,3.2889392375946045,5.61444091796875
61,123,1.8833849430084229,2.479240894317627,3.4028427600860596,,,
62,125,,,,2.338646411895752,3.2643210887908936,5.532231330871582
62,125,1.9584615230560303,2.5656425952911377,3.6297497749328613,,,
63,127,,,,2.343130350112915,3.269261360168457,5.548885345458984
63,127,1.918319582939148,2.532766580581665,3.496474504470825,,,
64,129,,,,2.3695528507232666,3.287482500076294,5.617340087890625
64,129,1.853395700454712,2.445556402206421,3.2866909503936768,,,
65,131,,,,2.3878161907196045,3.3053743839263916,5.678820610046387
65,131,1.976462721824646,2.614647388458252,3.811100959777832,,,
66,133,,,,2.391758918762207,3.3141396045684814,5.705582618713379
66,133,1.8304215669631958,2.3774306774139404,3.1247076988220215,,,
67,135,,,,2.39123272895813,3.3151848316192627,5.711704254150391
67,135,1.9116957187652588,2.518667221069336,3.4991745948791504,,,
68,137,,,,2.395082712173462,3.313060760498047,5.716780185699463
68,137,1.9121371507644653,2.457080125808716,3.4008243083953857,,,
69,139,,,,2.384087562561035,3.3092100620269775,5.700132369995117
69,139,1.770249843597412,2.3928210735321045,3.1537210941314697,,,
70,141,,,,2.354539394378662,3.3222105503082275,5.705193519592285
70,141,1.7460678815841675,2.3808515071868896,3.1051313877105713,,,
71,143,,,,2.3647329807281494,3.336798906326294,5.757491588592529
71,143,1.869350552558899,2.463141918182373,3.3251636028289795,,,
72,145,,,,2.433187961578369,3.3780407905578613,5.971399307250977
72,145,1.7573459148406982,2.4373395442962646,3.2357685565948486,,,
73,147,,,,2.4661920070648193,3.4019336700439453,6.068840026855469
73,147,1.881005048751831,2.570030689239502,3.6401493549346924,,,
74,149,,,,2.35754656791687,3.3581392765045166,5.818103313446045
74,149,1.7900422811508179,2.379491090774536,3.1148087978363037,,,
75,151,,,,2.3256986141204834,3.2988221645355225,5.613529205322266
75,151,1.6512775421142578,2.223248243331909,2.726776599884033,,,
76,153,,,,2.3486833572387695,3.2494876384735107,5.47245454788208
76,153,1.8028099536895752,2.442254066467285,3.2315847873687744,,,
77,155,,,,2.424631118774414,3.2712771892547607,5.582912921905518
77,155,1.7463871240615845,2.3812594413757324,3.0876991748809814,,,
78,157,,,,2.447328567504883,3.330829381942749,5.784045219421387
78,157,1.6681163311004639,2.2666234970092773,2.7919912338256836,,,
