epoch,step,train_MAE,train_RMSE,train_Total_Loss,val_MAE,val_RMSE,val_Total_Loss
0,1,,,,3.9868898391723633,5.710775375366211,16.309751510620117
0,1,5.191651821136475,7.173818588256836,25.768766403198242,,,
1,3,,,,3.473051071166992,5.244426727294922,13.778274536132812
1,3,4.201818466186523,6.356312274932861,20.401832580566406,,,
2,5,,,,3.1297338008880615,4.7796149253845215,11.49172306060791
2,5,3.5840864181518555,5.525954246520996,15.307252883911133,,,
3,7,,,,2.8691210746765137,4.2821855545043945,9.304267883300781
3,7,3.469393253326416,5.106327533721924,13.309311866760254,,,
4,9,,,,2.7268595695495605,3.813784599304199,7.474076271057129
4,9,2.9938461780548096,4.394111633300781,10.104135513305664,,,
5,11,,,,2.7528433799743652,3.482574701309204,6.296704292297363
5,11,2.9581875801086426,4.009391784667969,8.386481285095215,,,
6,13,,,,2.9466798305511475,3.501781940460205,6.310330867767334
6,13,2.8109750747680664,3.5586745738983154,6.710469722747803,,,
7,15,,,,3.1523704528808594,3.634087324142456,6.833230495452881
7,15,3.1691181659698486,3.8619203567504883,7.867127895355225,,,
8,17,,,,3.0743818283081055,3.5981616973876953,6.857088565826416
8,17,3.23254132270813,3.886472702026367,7.840235233306885,,,
9,19,,,,2.805718183517456,3.388094425201416,6.282709121704102
9,19,3.120309591293335,3.7979958057403564,7.763878345489502,,,
10,21,,,,2.686829090118408,3.211799383163452,5.760612964630127
10,21,2.8269307613372803,3.5260655879974365,6.851072788238525,,,
11,23,,,,2.6154820919036865,3.1552534103393555,5.530141830444336
11,23,2.7553184032440186,3.4451141357421875,6.47270393371582,,,
12,25,,,,2.580288887023926,3.177058219909668,5.51432466506958
12,25,2.880850315093994,3.633232355117798,7.25509786605835,,,
13,27,,,,2.561677932739258,3.213906764984131,5.5674848556518555
13,27,2.5202248096466064,2.9678990840911865,4.948873996734619,,,
14,29,,,,2.5513904094696045,3.23732328414917,5.609579086303711
14,29,2.8919520378112793,3.8324174880981445,7.764189720153809,,,
15,31,,,,2.542886734008789,3.2362849712371826,5.603468418121338
15,31,2.841141700744629,3.69805645942688,7.297385215759277,,,
16,33,,,,2.5366392135620117,3.2145256996154785,5.55452299118042
16,33,2.90109920501709,3.6540746688842773,7.254035949707031,,,
17,35,,,,2.5395727157592773,3.18282151222229,5.492288589477539
17,35,2.772343397140503,3.502533197402954,6.619032859802246,,,
18,37,,,,2.5496954917907715,3.1569409370422363,5.455838680267334
18,37,2.7026731967926025,3.4374818801879883,6.570148468017578,,,
19,39,,,,2.575338363647461,3.14705228805542,5.46701192855835
19,39,2.7122440338134766,3.4723548889160156,6.647390365600586,,,
20,41,,,,2.6010384559631348,3.159053325653076,5.524357795715332
20,41,2.6518373489379883,3.2416927814483643,5.867941379547119,,,
21,43,,,,2.6115007400512695,3.17464280128479,5.5713677406311035
21,43,2.6411476135253906,3.2355763912200928,5.803676128387451,,,
22,45,,,,2.6044039726257324,3.1783835887908936,5.568878650665283
22,45,2.7068655490875244,3.4899404048919678,6.624084949493408,,,
23,47,,,,2.5852408409118652,3.170961856842041,5.52766752243042
