epoch,step,train_MAE,train_RMSE,train_Total_Loss,val_MAE,val_RMSE,val_Total_Loss
0,1,,,,4.1637678146362305,5.637192726135254,15.929943084716797
0,1,5.5941290855407715,7.119414329528809,25.430583953857422,,,
1,3,,,,3.5909314155578613,5.13411808013916,13.224239349365234
1,3,4.587675094604492,6.343817234039307,20.197940826416016,,,
2,5,,,,3.621950149536133,4.784261226654053,11.524381637573242
2,5,3.904247760772705,5.580605983734131,15.662734985351562,,,
3,7,,,,3.7807607650756836,4.563625335693359,10.555442810058594
3,7,3.806442975997925,5.317809581756592,14.23470687866211,,,
4,9,,,,3.9076220989227295,4.4368896484375,10.016149520874023
4,9,4.500654220581055,5.530998706817627,15.453892707824707,,,
5,11,,,,3.839385986328125,4.283078193664551,9.290648460388184
5,11,4.1085333824157715,4.986372470855713,12.587069511413574,,,
6,13,,,,3.6084792613983154,4.052554130554199,8.246542930603027
6,13,3.9352972507476807,4.5422234535217285,10.418672561645508,,,
7,15,,,,3.3102643489837646,3.785400152206421,7.164626598358154
7,15,3.6488592624664307,4.364400386810303,9.743146896362305,,,
8,17,,,,3.003321647644043,3.511451005935669,6.201572418212891
8,17,3.3952698707580566,4.166272163391113,8.68464183807373,,,
9,19,,,,2.7278735637664795,3.23244309425354,5.373227119445801
9,19,3.166232109069824,3.977752447128296,7.95756721496582,,,
10,21,,,,2.5354628562927246,2.962336540222168,4.738559722900391
10,21,2.9046664237976074,3.6463441848754883,6.796837329864502,,,
11,23,,,,2.383392333984375,2.8096790313720703,4.530358791351318
11,23,2.809461832046509,3.584559917449951,6.753535747528076,,,
12,25,,,,2.397223949432373,2.9563686847686768,4.876230239868164
12,25,2.6180219650268555,3.249173879623413,5.838316917419434,,,
13,27,,,,2.6155693531036377,3.0444283485412598,4.982122898101807
13,27,2.593745708465576,3.272871971130371,5.8274970054626465,,,
14,29,,,,2.5139453411102295,2.9505257606506348,4.7334794998168945
14,29,2.7839574813842773,3.3747804164886475,6.067962169647217,,,
15,31,,,,2.3453874588012695,2.822352409362793,4.45681095123291
15,31,2.7417283058166504,3.426372766494751,6.304873466491699,,,
16,33,,,,2.2178595066070557,2.7555181980133057,4.328297138214111
16,33,2.573120355606079,3.2648990154266357,5.760694980621338,,,
17,35,,,,2.2244277000427246,2.739760160446167,4.309696674346924
17,35,2.4126241207122803,3.112410545349121,5.339841365814209,,,
18,37,,,,2.2900962829589844,2.7500410079956055,4.35062837600708
18,37,2.5361781120300293,3.310116767883301,5.975846767425537,,,
19,39,,,,2.3468589782714844,2.770615577697754,4.416145324707031
19,39,2.661912679672241,3.4192087650299072,6.353828430175781,,,
20,41,,,,2.375854015350342,2.7863032817840576,4.461907863616943
20,41,2.560347557067871,3.180997610092163,5.543933868408203,,,
21,43,,,,2.368720054626465,2.778186798095703,4.438437461853027
21,43,2.6032001972198486,3.2092456817626953,5.663915157318115,,,
22,45,,,,2.3473241329193115,2.7612144947052,4.390997886657715
22,45,2.6261987686157227,3.275548219680786,5.858244895935059,,,
23,47,,,,2.306875228881836,2.735048294067383,4.313663482666016
23,47,2.6733415126800537,3.3812153339385986,6.200509071350098,,,
24,49,,,,2.2607104778289795,2.7120699882507324,4.2396039962768555
24,49,2.553027629852295,3.1511733531951904,5.492480754852295,,,
25,51,,,,2.2145490646362305,2.6926567554473877,4.17283296585083
25,51,2.4570586681365967,3.0526742935180664,5.283155918121338,,,
26,53,,,,2.178704261779785,2.678809642791748,4.120142936706543
26,53,2.4048333168029785,3.1235713958740234,5.279229164123535,,,
27,55,,,,2.174903631210327,2.679311752319336,4.107072830200195
27,55,2.5020618438720703,3.219679117202759,5.666988372802734,,,
28,57,,,,2.190070152282715,2.6881179809570312,4.113096237182617
28,57,2.5818405151367188,3.396104574203491,6.302955150604248,,,
29,59,,,,2.2212538719177246,2.6884734630584717,4.112817764282227
29,59,2.4416141510009766,3.0878443717956543,5.263448238372803,,,
30,61,,,,2.2480907440185547,2.6899125576019287,4.115135669708252
30,61,2.4531750679016113,3.071863889694214,5.174195766448975,,,
31,63,,,,2.220367670059204,2.660586357116699,4.02304220199585
