epoch,step,train_MAE,train_RMSE,train_Total_Loss,val_MAE,val_RMSE,val_Total_Loss
0,1,,,,1.927161693572998,2.566411256790161,3.4817163944244385
0,1,2.550039052963257,4.17516565322876,8.796751022338867,,,
1,3,,,,2.0731124877929688,2.361239194869995,3.2328290939331055
1,3,2.718672513961792,4.084441184997559,8.563118934631348,,,
2,5,,,,2.352008819580078,2.513826847076416,3.960331916809082
2,5,2.710644245147705,3.5682904720306396,6.752346515655518,,,
3,7,,,,2.583064317703247,2.8714582920074463,5.06106424331665
3,7,2.9214096069335938,3.696223497390747,7.467645645141602,,,
4,9,,,,2.5899415016174316,3.00636625289917,5.381336688995361
4,9,2.98596453666687,3.6125190258026123,7.314264297485352,,,
5,11,,,,2.3517532348632812,2.826979637145996,4.714893341064453
5,11,2.9776692390441895,3.6915650367736816,7.546351909637451,,,
6,13,,,,2.241180419921875,2.57781982421875,3.9584057331085205
6,13,2.772646188735962,3.536139965057373,6.84042501449585,,,
7,15,,,,2.118825674057007,2.423088788986206,3.5192370414733887
7,15,2.7626030445098877,3.499406337738037,6.632424831390381,,,
8,17,,,,2.0256054401397705,2.3529701232910156,3.3466076850891113
8,17,2.799729347229004,3.744081735610962,7.50269079208374,,,
9,19,,,,1.9597573280334473,2.3207874298095703,3.299819231033325
9,19,2.3277454376220703,3.0166263580322266,5.050352096557617,,,
10,21,,,,1.9886150360107422,2.3119897842407227,3.322340726852417
10,21,2.326155424118042,3.1110341548919678,5.319874286651611,,,
11,23,,,,2.05606746673584,2.3252573013305664,3.4056639671325684
11,23,2.5773508548736572,3.550790548324585,6.727679252624512,,,
12,25,,,,2.133793354034424,2.364387035369873,3.551452398300171
12,25,2.575120687484741,3.3962337970733643,6.250317096710205,,,
13,27,,,,2.214151382446289,2.431763172149658,3.7606894969940186
13,27,2.499631881713867,3.188098669052124,5.559273719787598,,,
14,29,,,,2.2875843048095703,2.514768123626709,3.9957098960876465
14,29,2.647521734237671,3.3678345680236816,6.153980255126953,,,
15,31,,,,2.319880723953247,2.565601348876953,4.127384662628174
15,31,2.7090775966644287,3.350172996520996,6.197309970855713,,,
