epoch,step,train_MAE,train_RMSE,train_Total_Loss,val_MAE,val_RMSE,val_Total_Loss
0,1,,,,2.464885950088501,4.043412208557129,8.195829391479492
0,1,4.514695167541504,6.392769813537598,20.652305603027344,,,
1,3,,,,2.1581332683563232,3.4389874935150146,5.993462562561035
1,3,3.8923661708831787,5.988403797149658,18.235729217529297,,,
2,5,,,,1.969496488571167,2.9411211013793945,4.5369462966918945
2,5,2.9675941467285156,4.55885124206543,10.562296867370605,,,
3,7,,,,2.195145606994629,2.8025524616241455,4.308632850646973
3,7,2.903069019317627,4.324001312255859,9.671799659729004,,,
4,9,,,,2.58176851272583,3.1170027256011963,5.462829113006592
4,9,2.5455856323242188,3.2665653228759766,5.934566497802734,,,
5,11,,,,2.961057186126709,3.4833717346191406,6.938797950744629
5,11,2.891644239425659,3.5951457023620605,7.148886203765869,,,
6,13,,,,3.0380144119262695,3.5385544300079346,7.20371150970459
6,13,3.1875174045562744,3.9290103912353516,8.35485553741455,,,
7,15,,,,2.8948137760162354,3.398709297180176,6.620487213134766
7,15,3.179104804992676,3.889395236968994,8.164491653442383,,,
8,17,,,,2.6889944076538086,3.172085762023926,5.74153995513916
8,17,3.0564286708831787,3.726785898208618,7.599849700927734,,,
9,19,,,,2.5109927654266357,3.0109636783599854,5.10697078704834
9,19,2.7785372734069824,3.470290422439575,6.540858268737793,,,
10,21,,,,2.4004127979278564,2.8861916065216064,4.678336143493652
10,21,2.8699679374694824,3.7410755157470703,7.600544452667236,,,
11,23,,,,2.3259897232055664,2.832819938659668,4.474074840545654
11,23,2.627417802810669,3.352172613143921,6.135184288024902,,,
12,25,,,,2.2841269969940186,2.812694549560547,4.3885178565979
12,25,2.755934238433838,3.686803102493286,7.331420421600342,,,
13,27,,,,2.2784664630889893,2.81034517288208,4.378725051879883
13,27,2.5396766662597656,3.400192975997925,6.301575660705566,,,
14,29,,,,2.3031554222106934,2.8222594261169434,4.429269790649414
14,29,2.765432596206665,3.6858856678009033,7.280999183654785,,,
15,31,,,,2.3446688652038574,2.8454411029815674,4.526144027709961
15,31,2.7785751819610596,3.6572659015655518,7.234957695007324,,,
16,33,,,,2.3937222957611084,2.8864946365356445,4.6769490242004395
16,33,2.716984272003174,3.512010097503662,6.720418453216553,,,
17,35,,,,2.441701650619507,2.941713809967041,4.864790916442871
17,35,2.731816053390503,3.5163681507110596,6.743947982788086,,,
18,37,,,,2.4739744663238525,2.9850451946258545,5.008016109466553
18,37,2.839298725128174,3.6134188175201416,7.198155403137207,,,
19,39,,,,2.495781660079956,3.013103485107422,5.102301120758057
19,39,2.636054039001465,3.3139350414276123,6.0355224609375,,,
20,41,,,,2.4977517127990723,3.0185422897338867,5.118612766265869
20,41,2.973808526992798,3.876743793487549,8.145395278930664,,,
21,43,,,,2.4786617755889893,3.001067876815796,5.055774688720703
21,43,2.744049549102783,3.5872983932495117,6.992674350738525,,,
22,45,,,,2.4489517211914062,2.970273017883301,4.949908256530762
22,45,2.7765636444091797,3.5468292236328125,6.981212615966797,,,
23,47,,,,2.4145913124084473,2.9306764602661133,4.818343639373779
23,47,2.8294599056243896,3.672614812850952,7.445857524871826,,,
24,49,,,,2.391578197479248,2.9047770500183105,4.732211112976074
24,49,2.7740471363067627,3.6847660541534424,7.3840107917785645,,,
25,51,,,,2.3698952198028564,2.882704496383667,4.657841682434082
25,51,2.8351776599884033,3.7296481132507324,7.657722473144531,,,
26,53,,,,2.354315757751465,2.867077112197876,4.605920791625977
26,53,2.7847447395324707,3.6793770790100098,7.333366870880127,,,
27,55,,,,2.349544048309326,2.8603553771972656,4.586846828460693
27,55,2.8448359966278076,3.8043465614318848,7.799529552459717,,,
28,57,,,,2.350762128829956,2.858891487121582,4.587132453918457
28,57,2.7698111534118652,3.6172783374786377,7.164027214050293,,,
29,59,,,,2.3537240028381348,2.8588714599609375,4.5933380126953125
29,59,2.838714838027954,3.794302463531494,7.786159992218018,,,
30,61,,,,2.3561787605285645,2.8587162494659424,4.5996294021606445
30,61,2.719951868057251,3.578517436981201,6.947033882141113,,,
31,63,,,,2.3633673191070557,2.8631439208984375,4.622722148895264
31,63,2.673492670059204,3.4677257537841797,6.614403247833252,,,
32,65,,,,2.3738269805908203,2.8706464767456055,4.657073974609375
32,65,2.527863025665283,3.1885604858398438,5.614874839782715,,,
33,67,,,,2.37876296043396,2.8702309131622314,4.6657586097717285
33,67,2.5114552974700928,3.1437981128692627,5.517846584320068,,,
34,69,,,,2.361717462539673,2.8462440967559814,4.597926616668701
34,69,2.5941691398620605,3.30532169342041,5.99839448928833,,,
35,71,,,,2.3357577323913574,2.8128395080566406,4.501297950744629
35,71,2.6861510276794434,3.42293381690979,6.484091281890869,,,
36,73,,,,2.3073620796203613,2.777930498123169,4.400284290313721
36,73,2.610818862915039,3.285559892654419,5.965136528015137,,,
37,75,,,,2.280414342880249,2.7452902793884277,4.307170867919922
37,75,2.5366437435150146,3.2446680068969727,5.7634663581848145,,,
38,77,,,,2.2665889263153076,2.7215394973754883,4.255254745483398
38,77,2.64774227142334,3.4464988708496094,6.437099456787109,,,
39,79,,,,2.257394313812256,2.700981616973877,4.2181196212768555
39,79,2.4644417762756348,3.104870557785034,5.326406955718994,,,
40,81,,,,2.2574076652526855,2.691194772720337,4.209589958190918
40,81,2.6563992500305176,3.4088473320007324,6.388154983520508,,,
41,83,,,,2.254422903060913,2.6837258338928223,4.20753812789917
