epoch,step,train_loss_epoch,train_loss_step,val_MAE
0,2,,,2.62825345993042
0,2,26.418241500854492,,
1,5,,,1.5289257764816284
1,5,4.810963153839111,,
2,8,,,1.4155359268188477
2,8,2.0064594745635986,,
3,11,,,1.3021726608276367
3,11,1.3760355710983276,,
4,14,,,1.2920117378234863
4,14,1.2589985132217407,,
5,17,,,1.386620044708252
5,17,1.2899690866470337,,
6,20,,,1.4095802307128906
6,20,1.308954119682312,,
7,23,,,1.3710683584213257
7,23,1.2723422050476074,,
8,26,,,1.2979151010513306
8,26,1.2080299854278564,,
9,29,,,1.2119276523590088
9,29,1.152045488357544,,
10,32,,,1.1905226707458496
10,32,1.1078996658325195,,
11,35,,,1.156531810760498
11,35,1.0458065271377563,,
12,38,,,1.0746722221374512
12,38,0.9382703900337219,,
13,41,,,0.9891033172607422
13,41,0.7886328101158142,,
14,44,,,0.994245171546936
14,44,0.7041597366333008,,
15,47,,,0.9152929782867432
15,47,0.6325194239616394,,
16,49,,0.5903917551040649,
16,50,,,0.9012641906738281
16,50,0.5231024622917175,,
17,53,,,0.8473131656646729
17,53,0.5152654051780701,,
18,56,,,1.0072391033172607
18,56,0.5877301096916199,,
19,59,,,1.067608118057251
19,59,0.7261187434196472,,
20,62,,,0.7906418442726135
20,62,0.47202956676483154,,
21,65,,,1.095290184020996
21,65,0.5005660653114319,,
22,68,,,0.8289236426353455
22,68,0.4538591802120209,,
23,71,,,0.8420979976654053
23,71,0.42553961277008057,,
24,74,,,1.0528666973114014
24,74,0.41134580969810486,,
25,77,,,0.7605128288269043
25,77,0.3792952597141266,,
26,80,,,0.9195616245269775
26,80,0.33150753378868103,,
27,83,,,0.7997879981994629
27,83,0.4165498912334442,,
28,86,,,0.7516590356826782
28,86,0.3260537385940552,,
29,89,,,0.9217832088470459
29,89,0.3722306191921234,,
30,92,,,0.7454252243041992
30,92,0.3235100209712982,,
31,95,,,0.7355148792266846
31,95,0.2392064481973648,,
32,98,,,0.8007974028587341
32,98,0.222880557179451,,
33,99,,0.2616652548313141,
33,101,,,0.7273311614990234
33,101,0.3030131161212921,,
34,104,,,0.7504515647888184
34,104,0.23057401180267334,,
35,107,,,0.7684456706047058
35,107,0.2039812058210373,,
36,110,,,0.7550934553146362
36,110,0.19679473340511322,,
37,113,,,0.7365586757659912
37,113,0.16188596189022064,,
38,116,,,0.7428300380706787
38,116,0.147853285074234,,
39,119,,,0.7226650714874268
39,119,0.152359738945961,,
40,122,,,0.7007189989089966
40,122,0.16829966008663177,,
41,125,,,0.6923043727874756
41,125,0.1415679156780243,,
42,128,,,0.7801297307014465
42,128,0.12692154943943024,,
43,131,,,0.7611276507377625
43,131,0.12729443609714508,,
44,134,,,0.8181838393211365
44,134,0.12747608125209808,,
45,137,,,0.7159340977668762
45,137,0.20033322274684906,,
46,140,,,0.7759206891059875
46,140,0.14323367178440094,,
47,143,,,0.8081265091896057
47,143,0.19285906851291656,,
48,146,,,0.8420209884643555
48,146,0.16413551568984985,,
49,149,,0.14878953993320465,
49,149,,,0.7464576959609985
49,149,0.18832314014434814,,
50,152,,,0.7210023403167725
50,152,0.10134827345609665,,
51,155,,,0.7254812717437744
51,155,0.141971617937088,,
52,158,,,0.8285527229309082
52,158,0.09648007154464722,,
53,161,,,0.8173567652702332
53,161,0.10006624460220337,,
54,164,,,0.7712540626525879
54,164,0.14654211699962616,,
55,167,,,0.7751729488372803
55,167,0.11747446656227112,,
56,170,,,0.7004960775375366
56,170,0.12457611411809921,,
57,173,,,0.7139577865600586
57,173,0.11579670757055283,,
58,176,,,0.7097092270851135
58,176,0.1218767762184143,,
59,179,,,0.689631462097168
59,179,0.08581972122192383,,
60,182,,,0.6988016366958618
60,182,0.09712520986795425,,
61,185,,,0.7826809287071228
61,185,0.09683606028556824,,
62,188,,,0.7067488431930542
62,188,0.10072288662195206,,
63,191,,,0.6819623708724976
63,191,0.09727826714515686,,
64,194,,,0.7270642518997192
64,194,0.09424377232789993,,
65,197,,,0.7204110622406006
65,197,0.07176470756530762,,
66,199,,0.0725519061088562,
66,200,,,0.732891321182251
66,200,0.06830888986587524,,
67,203,,,0.7319618463516235
67,203,0.08333727717399597,,
68,206,,,0.6817785501480103
68,206,0.0727660283446312,,
69,209,,,0.6923456192016602
69,209,0.07309318333864212,,
70,212,,,0.6991070508956909
70,212,0.07305315136909485,,
71,215,,,0.6957831978797913
71,215,0.08155319839715958,,
72,218,,,0.7047761678695679
72,218,0.08790219575166702,,
73,221,,,0.7262157201766968
73,221,0.056920092552900314,,
74,224,,,0.7043436765670776
74,224,0.06379460543394089,,
75,227,,,0.6986971497535706
75,227,0.06597957015037537,,
76,230,,,0.6882281303405762
76,230,0.07312432676553726,,
77,233,,,0.7361261248588562
77,233,0.05831045284867287,,
78,236,,,0.7087880969047546
78,236,0.05900834873318672,,
79,239,,,0.7045116424560547
79,239,0.050506025552749634,,
80,242,,,0.6855049133300781
80,242,0.05179867520928383,,
81,245,,,0.6936057209968567
81,245,0.054556477814912796,,
82,248,,,0.720390796661377
82,248,0.04848549887537956,,
83,249,,0.05989586189389229,
83,251,,,0.7085961103439331
83,251,0.07204169780015945,,
84,254,,,0.7110934853553772
84,254,0.04591304063796997,,
85,257,,,0.6780608892440796
85,257,0.07110631465911865,,
86,260,,,0.6996903419494629
86,260,0.04147579148411751,,
87,263,,,0.7040677070617676
87,263,0.08830925822257996,,
88,266,,,0.6922723054885864
88,266,0.06088627502322197,,
89,269,,,0.7408870458602905
89,269,0.05266931280493736,,
90,272,,,0.720763087272644
90,272,0.06330103427171707,,
91,275,,,0.7559152245521545
91,275,0.053019601851701736,,
92,278,,,0.7038297057151794
92,278,0.05502443015575409,,
93,281,,,0.6851648688316345
93,281,0.08530167490243912,,
94,284,,,0.6850631833076477
94,284,0.0654330849647522,,
95,287,,,0.7583985924720764
95,287,0.07958618551492691,,
96,290,,,0.7048565149307251
96,290,0.08009570091962814,,
97,293,,,0.7101525068283081
97,293,0.05527107045054436,,
98,296,,,0.7024668455123901
98,296,0.08951810747385025,,
99,299,,0.06176973134279251,
99,299,,,0.6648735404014587
99,299,0.06286508589982986,,
100,302,,,0.6647324562072754
100,302,0.05086963251233101,,
101,305,,,0.6720767021179199
101,305,0.057560503482818604,,
102,308,,,0.679356038570404
102,308,0.03755318745970726,,
103,311,,,0.687526524066925
103,311,0.036448344588279724,,
104,314,,,0.6965230703353882
104,314,0.03677087649703026,,
105,317,,,0.704890251159668
105,317,0.03139768913388252,,
106,320,,,0.7136807441711426
106,320,0.028279438614845276,,
107,323,,,0.7146973609924316
107,323,0.07955098897218704,,
108,326,,,0.7127561569213867
108,326,0.049708154052495956,,
109,329,,,0.7075415849685669
109,329,0.034394145011901855,,
110,332,,,0.7038940191268921
110,332,0.028726674616336823,,
111,335,,,0.6999185085296631
111,335,0.03794891759753227,,
112,338,,,0.6969369053840637
112,338,0.032908301800489426,,
113,341,,,0.6983770132064819
113,341,0.02680850960314274,,
114,344,,,0.7004396915435791
114,344,0.02882724441587925,,
115,347,,,0.6990242004394531
115,347,0.039805833250284195,,
116,349,,0.031983982771635056,
116,350,,,0.7020893096923828
116,350,0.02895074151456356,,
117,353,,,0.7065294981002808
117,353,0.03194457292556763,,
118,356,,,0.705382227897644
118,356,0.03175835683941841,,
119,359,,,0.6971724033355713
119,359,0.036127377301454544,,
120,362,,,0.6923366785049438
120,362,0.04716547951102257,,
121,365,,,0.6886460781097412
121,365,0.040891747921705246,,
122,368,,,0.6857957243919373
122,368,0.03231120854616165,,
123,371,,,0.6862033009529114
123,371,0.0287215244024992,,
124,374,,,0.6883857846260071
124,374,0.037145402282476425,,
125,377,,,0.6903210878372192
125,377,0.025967517867684364,,
126,380,,,0.6939449310302734
126,380,0.027083709836006165,,
127,383,,,0.6989834308624268
127,383,0.027321023866534233,,
128,386,,,0.7046835422515869
128,386,0.023947248235344887,,
129,389,,,0.7089803218841553
129,389,0.0302840918302536,,
130,392,,,0.7127098441123962
130,392,0.03388536348938942,,
131,395,,,0.7149134874343872
131,395,0.03266141936182976,,
132,398,,,0.7133984565734863
132,398,0.05778932943940163,,
133,399,,0.025574587285518646,
133,401,,,0.7065479755401611
133,401,0.031983379274606705,,
134,404,,,0.7039055824279785
134,404,0.0319342277944088,,
135,407,,,0.6991826891899109
135,407,0.043487463146448135,,
136,410,,,0.6923477053642273
136,410,0.04153618961572647,,
137,413,,,0.689512312412262
137,413,0.03523790463805199,,
138,416,,,0.6888089776039124
138,416,0.025828195735812187,,
139,419,,,0.6883627772331238
139,419,0.03970805183053017,,
140,422,,,0.6895912885665894
140,422,0.0269157737493515,,
141,425,,,0.6894623041152954
141,425,0.051276396960020065,,
142,428,,,0.6926244497299194
142,428,0.0330117791891098,,
143,431,,,0.693219780921936
143,431,0.03823864087462425,,
144,434,,,0.6935897469520569
144,434,0.026775294914841652,,
145,437,,,0.6966012120246887
145,437,0.029701026156544685,,
146,440,,,0.7001243829727173
146,440,0.027460644021630287,,
147,443,,,0.7017172574996948
147,443,0.03676843270659447,,
148,446,,,0.7026042938232422
148,446,0.02514723129570484,,
149,449,,0.04170054942369461,
149,449,,,0.7044955492019653
149,449,0.03356262668967247,,
150,452,,,0.7048665881156921
150,452,0.02410052716732025,,
151,455,,,0.7074577808380127
151,455,0.031948503106832504,,
152,458,,,0.7073737382888794
152,458,0.025819167494773865,,
153,461,,,0.7073507308959961
153,461,0.032482683658599854,,
154,464,,,0.7053563594818115
154,464,0.03401518240571022,,
155,467,,,0.703525185585022
155,467,0.03319147601723671,,
156,470,,,0.7005753517150879
156,470,0.03021705150604248,,
157,473,,,0.7013992071151733
157,473,0.02631661295890808,,
158,476,,,0.7010188102722168
158,476,0.05822603777050972,,
159,479,,,0.6950606107711792
159,479,0.02860923670232296,,
160,482,,,0.6917916536331177
160,482,0.039504531770944595,,
161,485,,,0.6898081302642822
161,485,0.02684669755399227,,
162,488,,,0.6882120370864868
162,488,0.03059540130198002,,
163,491,,,0.6893917322158813
163,491,0.025010971352458,,
164,494,,,0.6948442459106445
164,494,0.028268350288271904,,
165,497,,,0.7001991271972656
165,497,0.03828349709510803,,
166,499,,0.027068540453910828,
166,500,,,0.7002126574516296
166,500,0.025781115517020226,,
167,503,,,0.7018580436706543
167,503,0.02458585798740387,,
168,506,,,0.7048097848892212
168,506,0.027866356074810028,,
169,509,,,0.7057427167892456
169,509,0.027794957160949707,,
170,512,,,0.7046915292739868
170,512,0.02954014576971531,,
171,515,,,0.7005214691162109
171,515,0.07527746260166168,,
172,518,,,0.6987545490264893
172,518,0.025779077783226967,,
173,521,,,0.6944748759269714
173,521,0.042155008763074875,,
174,524,,,0.6892852187156677
174,524,0.04024944826960564,,
175,527,,,0.687116265296936
175,527,0.02449827827513218,,
176,530,,,0.6879575252532959
176,530,0.028974950313568115,,
177,533,,,0.6899915933609009
177,533,0.029226938262581825,,
178,536,,,0.692310631275177
178,536,0.03722432255744934,,
179,539,,,0.6923578977584839
179,539,0.03794799745082855,,
180,542,,,0.6929717063903809
180,542,0.04048287868499756,,
181,545,,,0.6889680624008179
181,545,0.03121802769601345,,
182,548,,,0.6926001310348511
182,548,0.02864374779164791,,
183,549,,0.07149051129817963,
183,551,,,0.692680835723877
183,551,0.04641374945640564,,
184,554,,,0.6942934989929199
184,554,0.02882583625614643,,
185,557,,,0.694006621837616
185,557,0.027791703119874,,
186,560,,,0.69818115234375
186,560,0.028954997658729553,,
187,563,,,0.699904203414917
187,563,0.026127735152840614,,
188,566,,,0.7023677825927734
188,566,0.02779930830001831,,
189,569,,,0.7030638456344604
189,569,0.03031226247549057,,
190,572,,,0.7042924165725708
190,572,0.0362970307469368,,
191,575,,,0.7066044807434082
191,575,0.024691196158528328,,
192,578,,,0.7071975469589233
192,578,0.021807119250297546,,
193,581,,,0.7073653340339661
193,581,0.029373491182923317,,
194,584,,,0.7073047757148743
194,584,0.02583143673837185,,
195,587,,,0.7088809609413147
195,587,0.027509747073054314,,
196,590,,,0.7092286348342896
196,590,0.035036176443099976,,
197,593,,,0.7057657241821289
197,593,0.028162142261862755,,
198,596,,,0.7027833461761475
198,596,0.04031128063797951,,
199,599,,0.09204002469778061,
199,599,,,0.6976327896118164
199,599,0.0691651776432991,,
200,602,,,0.6915510892868042
200,602,0.04027543589472771,,
201,605,,,0.6867210865020752
201,605,0.028258368372917175,,
202,608,,,0.683501124382019
202,608,0.03912315517663956,,
203,611,,,0.6817651987075806
203,611,0.028442630544304848,,
204,614,,,0.6841068267822266
204,614,0.030178433284163475,,
205,617,,,0.6884604096412659
205,617,0.023623241111636162,,
206,620,,,0.6943435668945312
206,620,0.03308449313044548,,
207,623,,,0.6982103586196899
207,623,0.03020646423101425,,
208,626,,,0.7017959356307983
208,626,0.03440890088677406,,
209,629,,,0.7036774158477783
209,629,0.03146203234791756,,
210,632,,,0.708798348903656
210,632,0.05868044123053551,,
211,635,,,0.7003905773162842
211,635,0.040524840354919434,,
212,638,,,0.6936445236206055
212,638,0.041341301053762436,,
213,641,,,0.689252495765686
213,641,0.032623182982206345,,
214,644,,,0.6882808208465576
214,644,0.050130292773246765,,
215,647,,,0.6839611530303955
215,647,0.03686711564660072,,
216,649,,0.02119513973593712,
