epoch,step,train_loss_epoch,train_loss_step,val_MAE
0,2,,,6.65442419052124
0,2,3.2228190898895264,,
1,5,,,1.5463902950286865
1,5,23.444833755493164,,
2,8,,,1.383857011795044
2,8,3.1821470260620117,,
3,11,,,1.2480827569961548
3,11,2.054591178894043,,
4,14,,,1.2004201412200928
4,14,1.633262038230896,,
5,17,,,1.2086560726165771
5,17,1.4489574432373047,,
6,20,,,1.2133328914642334
6,20,1.3695839643478394,,
7,23,,,1.1977925300598145
7,23,1.344799518585205,,
8,26,,,1.174285888671875
8,26,1.3332668542861938,,
9,29,,,1.1700260639190674
9,29,1.3283036947250366,,
10,32,,,1.2041670083999634
10,32,1.3219596147537231,,
11,35,,,1.2135624885559082
11,35,1.311815857887268,,
12,38,,,1.2013458013534546
12,38,1.2942911386489868,,
13,41,,,1.1724668741226196
13,41,1.2705296277999878,,
14,44,,,1.1248388290405273
14,44,1.1950081586837769,,
15,47,,,1.0312577486038208
15,47,1.1083205938339233,,
16,49,,1.0322190523147583,
16,50,,,0.9353457093238831
16,50,0.9580354690551758,,
17,53,,,1.023425579071045
17,53,0.8526894450187683,,
18,56,,,0.92768394947052
18,56,0.8115968704223633,,
19,59,,,0.871230959892273
19,59,0.6602800488471985,,
20,62,,,0.8973681926727295
20,62,0.6136098504066467,,
21,65,,,0.8998612761497498
21,65,0.5780208110809326,,
22,68,,,0.8600515723228455
22,68,0.5198900699615479,,
23,71,,,0.8327921628952026
23,71,0.5445585250854492,,
24,74,,,0.8067108392715454
24,74,0.4725513458251953,,
25,77,,,0.8149833679199219
25,77,0.42536282539367676,,
26,80,,,0.8218852281570435
26,80,0.40835270285606384,,
27,83,,,0.82393878698349
27,83,0.38457170128822327,,
28,86,,,0.8124282360076904
28,86,0.3543368875980377,,
29,89,,,0.8213844299316406
29,89,0.3425372540950775,,
30,92,,,0.8082950115203857
30,92,0.33709001541137695,,
31,95,,,0.9018851518630981
31,95,0.3032631576061249,,
32,98,,,0.8228145837783813
32,98,0.27479755878448486,,
33,99,,0.24299809336662292,
33,101,,,0.8119182586669922
33,101,0.2997762858867645,,
34,104,,,0.7876365184783936
34,104,0.30470430850982666,,
35,107,,,0.8410748243331909
35,107,0.24927420914173126,,
36,110,,,0.8012059330940247
36,110,0.2759189307689667,,
37,113,,,0.8298452496528625
37,113,0.2490997314453125,,
38,116,,,0.7974420189857483
38,116,0.2428445667028427,,
39,119,,,0.7889963984489441
39,119,0.21974575519561768,,
40,122,,,0.8688279390335083
40,122,0.22448785603046417,,
41,125,,,0.8294860124588013
41,125,0.22876012325286865,,
42,128,,,0.7920928597450256
42,128,0.276290625333786,,
43,131,,,0.7964960932731628
43,131,0.27235496044158936,,
44,134,,,0.7980383634567261
44,134,0.29939451813697815,,
45,137,,,0.8474541306495667
45,137,0.25463101267814636,,
46,140,,,0.8757502436637878
46,140,0.2156583070755005,,
47,143,,,0.9280781745910645
47,143,0.21066856384277344,,
48,146,,,0.799697995185852
48,146,0.18628406524658203,,
49,149,,0.2158864289522171,
49,149,,,0.8026827573776245
49,149,0.18908195197582245,,
50,152,,,1.2326624393463135
50,152,0.17496947944164276,,
51,155,,,0.8260027170181274
51,155,0.16088393330574036,,
52,158,,,0.8244426250457764
52,158,0.16722317039966583,,
53,161,,,0.9429662823677063
53,161,0.16955499351024628,,
54,164,,,0.7711204290390015
54,164,0.16048990190029144,,
55,167,,,0.8497058153152466
55,167,0.14627225697040558,,
56,170,,,0.8588568568229675
56,170,0.14830662310123444,,
57,173,,,0.862638533115387
57,173,0.13364434242248535,,
58,176,,,0.8719362020492554
58,176,0.1728159338235855,,
59,179,,,0.9117785692214966
59,179,0.15009857714176178,,
60,182,,,0.8192400932312012
60,182,0.15892119705677032,,
61,185,,,0.8285476565361023
61,185,0.1632906198501587,,
62,188,,,0.8797593116760254
62,188,0.1712154895067215,,
63,191,,,0.8552039861679077
63,191,0.14287354052066803,,
64,194,,,0.9146105647087097
64,194,0.12636825442314148,,
65,197,,,0.9335922002792358
65,197,0.11906251311302185,,
66,199,,0.12738043069839478,
66,200,,,0.9244644045829773
66,200,0.11093420535326004,,
67,203,,,0.8911617994308472
67,203,0.11298928409814835,,
68,206,,,0.8960689306259155
68,206,0.09545227140188217,,
69,209,,,0.897786021232605
69,209,0.11723040789365768,,
70,212,,,0.8708155751228333
70,212,0.1660616546869278,,
71,215,,,0.8737614154815674
71,215,0.13938601315021515,,
72,218,,,0.9445505142211914
72,218,0.27742865681648254,,
73,221,,,0.9165434837341309
73,221,0.21985433995723724,,
74,224,,,0.8168229460716248
74,224,0.19672060012817383,,
75,227,,,1.4387894868850708
75,227,0.1496574878692627,,
76,230,,,0.8717278242111206
76,230,0.15631894767284393,,
77,233,,,0.9824802875518799
77,233,0.1359981894493103,,
78,236,,,0.9396517276763916
78,236,0.10666164010763168,,
79,239,,,0.9949899911880493
79,239,0.08959627151489258,,
80,242,,,0.8795416355133057
80,242,0.08807618170976639,,
81,245,,,0.9745162129402161
81,245,0.08790785819292068,,
82,248,,,0.9349943399429321
82,248,0.11202897876501083,,
83,249,,0.11686018109321594,
83,251,,,1.021857500076294
83,251,0.10496985167264938,,
84,254,,,1.0733393430709839
84,254,0.11411335319280624,,
85,257,,,0.9487932324409485
85,257,0.07867404073476791,,
86,260,,,0.997124969959259
86,260,0.07755697518587112,,
87,263,,,0.9479180574417114
87,263,0.06878171116113663,,
88,266,,,0.9502020478248596
88,266,0.07800180464982986,,
89,269,,,0.9058679342269897
89,269,0.06760212033987045,,
90,272,,,0.9723906517028809
90,272,0.05707336962223053,,
91,275,,,0.9700509309768677
91,275,0.06461036950349808,,
92,278,,,0.9596160650253296
92,278,0.05775067210197449,,
93,281,,,0.9535291194915771
93,281,0.06369676440954208,,
94,284,,,0.9375388622283936
94,284,0.07277000695466995,,
95,287,,,0.9677103161811829
95,287,0.06754834204912186,,
96,290,,,0.9629490375518799
96,290,0.045171719044446945,,
97,293,,,0.9447283744812012
97,293,0.05875152349472046,,
98,296,,,0.9149340987205505
98,296,0.1523076742887497,,
99,299,,0.1695602983236313,
99,299,,,0.8912677764892578
99,299,0.10704610496759415,,
100,302,,,0.895950436592102
100,302,0.09217556565999985,,
101,305,,,0.9073600769042969
101,305,0.08315121382474899,,
102,308,,,0.9267083406448364
102,308,0.06422104686498642,,
103,311,,,0.9425333142280579
103,311,0.050304606556892395,,
104,314,,,0.9504431486129761
104,314,0.057098839432001114,,
105,317,,,0.9570516347885132
105,317,0.05394476652145386,,
106,320,,,0.9618322253227234
106,320,0.03912084922194481,,
107,323,,,0.9609779119491577
107,323,0.051230739802122116,,
108,326,,,0.9584918022155762
108,326,0.048262398689985275,,
109,329,,,0.9595448970794678
109,329,0.04166280850768089,,
110,332,,,0.9664322733879089
110,332,0.035933900624513626,,
111,335,,,0.9799665212631226
111,335,0.03419121354818344,,
112,338,,,0.9863742589950562
112,338,0.03374851867556572,,
113,341,,,0.9762253761291504
113,341,0.044511258602142334,,
114,344,,,0.9694908857345581
114,344,0.03224280849099159,,
115,347,,,0.9652981162071228
115,347,0.03586383908987045,,
116,349,,0.029795773327350616,
116,350,,,0.9639583230018616
116,350,0.03065769374370575,,
117,353,,,0.9678002595901489
117,353,0.03541271388530731,,
118,356,,,0.9745070934295654
118,356,0.033654000610113144,,
119,359,,,0.9865248203277588
119,359,0.034830495715141296,,
120,362,,,0.9961808919906616
120,362,0.035618722438812256,,
121,365,,,0.9910594820976257
121,365,0.04367673769593239,,
122,368,,,0.9824298620223999
122,368,0.0379522480070591,,
123,371,,,0.982836902141571
123,371,0.03541744500398636,,
124,374,,,0.9853872060775757
124,374,0.03096567653119564,,
125,377,,,0.9878286123275757
125,377,0.04666237533092499,,
126,380,,,0.9723313450813293
126,380,0.09299534559249878,,
127,383,,,0.9633894562721252
127,383,0.030242731794714928,,
128,386,,,0.9644984006881714
128,386,0.03131943941116333,,
129,389,,,0.9707350730895996
129,389,0.030710840597748756,,
130,392,,,0.9787672758102417
130,392,0.0415392704308033,,
131,395,,,0.9874920845031738
131,395,0.03496776148676872,,
132,398,,,0.9969964623451233
132,398,0.046432435512542725,,
133,399,,0.04410909116268158,
133,401,,,0.9913684129714966
133,401,0.05104069039225578,,
134,404,,,0.9838696718215942
134,404,0.032110076397657394,,
135,407,,,0.9817904233932495
135,407,0.04265958443284035,,
136,410,,,0.9871439337730408
136,410,0.035508304834365845,,
137,413,,,0.9942184686660767
137,413,0.035885509103536606,,
138,416,,,0.9990159869194031
138,416,0.045371126383543015,,
139,419,,,1.0008745193481445
139,419,0.02764824591577053,,
140,422,,,0.9970200657844543
140,422,0.027758300304412842,,
141,425,,,0.9949886798858643
141,425,0.03358934447169304,,
142,428,,,0.997183084487915
142,428,0.02796277590095997,,
143,431,,,1.005821704864502
143,431,0.0258802380412817,,
144,434,,,1.009687900543213
144,434,0.04199552163481712,,
145,437,,,1.0092862844467163
145,437,0.03439423814415932,,
146,440,,,1.0119802951812744
146,440,0.026544108986854553,,
147,443,,,1.015379786491394
147,443,0.033446356654167175,,
148,446,,,1.0159684419631958
148,446,0.034732747822999954,,
149,449,,0.0671265572309494,
149,449,,,1.0087890625
149,449,0.08432679623365402,,
150,452,,,0.9898724555969238
150,452,0.030991146340966225,,
151,455,,,0.9863060712814331
151,455,0.03149472922086716,,
152,458,,,0.9906920790672302
152,458,0.029202012345194817,,
153,461,,,1.0014313459396362
153,461,0.03852370008826256,,
154,464,,,1.0083131790161133
154,464,0.041026968508958817,,
155,467,,,1.0116409063339233
155,467,0.02313154749572277,,
156,470,,,1.00919771194458
156,470,0.03781795874238014,,
157,473,,,1.0012787580490112
157,473,0.02779293619096279,,
158,476,,,0.9964144229888916
158,476,0.028267180547118187,,
159,479,,,0.998319685459137
159,479,0.03652256727218628,,
160,482,,,1.000486969947815
160,482,0.03365744650363922,,
161,485,,,1.003264307975769
161,485,0.02891632728278637,,
162,488,,,1.0062434673309326
162,488,0.05320596694946289,,
163,491,,,0.9973983764648438
163,491,0.032077606767416,,
164,494,,,0.9987775087356567
164,494,0.029083753004670143,,
165,497,,,1.002145528793335
165,497,0.026250744238495827,,
166,499,,0.018122659996151924,
166,500,,,1.0074892044067383
166,500,0.028084391728043556,,
167,503,,,1.0058664083480835
167,503,0.03883843496441841,,
168,506,,,1.005948543548584
168,506,0.029959505423903465,,
169,509,,,1.0111669301986694
169,509,0.02377665974199772,,
170,512,,,1.0145065784454346
170,512,0.03262590244412422,,
171,515,,,1.0111314058303833
171,515,0.031088262796401978,,
172,518,,,1.0155420303344727
172,518,0.02285301685333252,,
173,521,,,1.0232555866241455
173,521,0.03280104324221611,,
174,524,,,1.019654631614685
174,524,0.03334418311715126,,
175,527,,,1.014691710472107
175,527,0.02554462105035782,,
176,530,,,1.0082731246948242
176,530,0.027846520766615868,,
177,533,,,1.0073013305664062
177,533,0.041462939232587814,,
178,536,,,1.0017192363739014
178,536,0.02419484592974186,,
179,539,,,1.002891182899475
179,539,0.04255683347582817,,
180,542,,,0.9909833669662476
180,542,0.04917691648006439,,
181,545,,,0.9836360216140747
181,545,0.047452714294195175,,
182,548,,,0.9866008758544922
182,548,0.025150379166007042,,
183,549,,0.036431267857551575,
183,551,,,0.9962183237075806
183,551,0.03549044579267502,,
184,554,,,1.0082392692565918
184,554,0.023629168048501015,,
185,557,,,1.0124114751815796
185,557,0.05677201226353645,,
186,560,,,0.9969481825828552
186,560,0.02406141348183155,,
187,563,,,0.9964550733566284
187,563,0.029861129820346832,,
188,566,,,0.9973047971725464
188,566,0.05519990250468254,,
189,569,,,1.0104305744171143
189,569,0.03267539665102959,,
190,572,,,1.0154104232788086
190,572,0.03335881605744362,,
191,575,,,1.0170156955718994
191,575,0.02809002995491028,,
192,578,,,1.010589599609375
192,578,0.03031337447464466,,
193,581,,,1.0095144510269165
193,581,0.026058731600642204,,
194,584,,,1.0044232606887817
194,584,0.02614888735115528,,
195,587,,,1.0075091123580933
195,587,0.02206154353916645,,
196,590,,,1.0083662271499634
196,590,0.03349940478801727,,
197,593,,,1.0135210752487183
197,593,0.01973160170018673,,
198,596,,,1.027718424797058
198,596,0.03411116078495979,,
199,599,,0.07017793506383896,
199,599,,,1.0428532361984253
199,599,0.06105414032936096,,
200,602,,,1.0278400182724
200,602,0.05954517051577568,,
201,605,,,1.0217679738998413
201,605,0.027717217803001404,,
202,608,,,1.017988920211792
202,608,0.025462938472628593,,
203,611,,,1.0143139362335205
203,611,0.02428670972585678,,
204,614,,,1.0176517963409424
204,614,0.028251707553863525,,
205,617,,,1.0140786170959473
205,617,0.02537064254283905,,
206,620,,,1.0203564167022705
206,620,0.040532153099775314,,
207,623,,,1.0207796096801758
207,623,0.02617671526968479,,
208,626,,,1.0218786001205444
208,626,0.022652551531791687,,
209,629,,,1.0147223472595215
209,629,0.04283708333969116,,
210,632,,,1.0077805519104004
210,632,0.02562347799539566,,
211,635,,,1.0136032104492188
211,635,0.02481832355260849,,
212,638,,,1.0255918502807617
212,638,0.034926895052194595,,
213,641,,,1.022831916809082
213,641,0.03723595663905144,,
214,644,,,1.0206964015960693
214,644,0.025448152795433998,,
215,647,,,1.01821768283844
215,647,0.024298718199133873,,
216,649,,0.028819717466831207,
216,650,,,1.0215743780136108
216,650,0.027618402615189552,,
217,653,,,1.0241892337799072
217,653,0.02711533010005951,,
218,656,,,1.0283558368682861
218,656,0.027834562584757805,,
219,659,,,1.0150091648101807
219,659,0.04052453115582466,,
220,662,,,1.0183634757995605
220,662,0.026404758915305138,,
221,665,,,1.0282766819000244
221,665,0.023762276396155357,,
222,668,,,1.0260897874832153
222,668,0.027711668983101845,,
223,671,,,1.0303696393966675
223,671,0.02851022221148014,,
224,674,,,1.0444589853286743
224,674,0.025061137974262238,,
225,677,,,1.0405747890472412
225,677,0.019878722727298737,,
226,680,,,1.0258188247680664
226,680,0.050305020064115524,,
227,683,,,1.0133196115493774
227,683,0.02128484658896923,,
228,686,,,1.010948896408081
228,686,0.028216054663062096,,
229,689,,,1.0120378732681274
229,689,0.022642314434051514,,
230,692,,,1.0180530548095703
230,692,0.026860086247324944,,
231,695,,,1.0308501720428467
231,695,0.02448227070271969,,
232,698,,,1.0383774042129517
232,698,0.019762488082051277,,
233,699,,0.019713182002305984,
233,701,,,1.0379927158355713
233,701,0.02447875402867794,,
234,704,,,1.0144541263580322
234,704,0.04823283851146698,,
235,707,,,1.0065091848373413
235,707,0.036417052149772644,,
236,710,,,1.0109351873397827
236,710,0.023403702303767204,,
237,713,,,1.0200852155685425
237,713,0.021719424054026604,,
238,716,,,1.0300028324127197
238,716,0.02725679613649845,,
239,719,,,1.0288474559783936
239,719,0.022402575239539146,,
240,722,,,1.0242328643798828
240,722,0.019362471997737885,,
241,725,,,1.0255634784698486
241,725,0.023215392604470253,,
242,728,,,1.0161116123199463
242,728,0.02322707511484623,,
243,731,,,1.011491298675537
243,731,0.025333799421787262,,
244,734,,,1.0128843784332275
244,734,0.01893356628715992,,
245,737,,,1.0230967998504639
245,737,0.022645965218544006,,
246,740,,,1.0362104177474976
246,740,0.029133901000022888,,
247,743,,,1.0335309505462646
247,743,0.05100178346037865,,
248,746,,,1.022868275642395
248,746,0.018263624981045723,,
249,749,,0.05143951252102852,
249,749,,,1.0159306526184082
249,749,0.032684069126844406,,
250,752,,,1.0123777389526367
250,752,0.043030936270952225,,
251,755,,,1.0269042253494263
251,755,0.02180071920156479,,
252,758,,,1.0389248132705688
252,758,0.029058650135993958,,
253,761,,,1.0261051654815674
253,761,0.024828733876347542,,
254,764,,,1.0159685611724854
254,764,0.027709342539310455,,
255,767,,,1.0172276496887207
255,767,0.02532554231584072,,
256,770,,,1.0205795764923096
256,770,0.027962833642959595,,
257,773,,,1.0263034105300903
257,773,0.021048733964562416,,
258,776,,,1.0351817607879639
258,776,0.024886036291718483,,
259,779,,,1.0421139001846313
259,779,0.029651546850800514,,
260,782,,,1.0253217220306396
260,782,0.03162918984889984,,
261,785,,,1.0187042951583862
261,785,0.01935281604528427,,
262,788,,,1.0211799144744873
262,788,0.01780194789171219,,
263,791,,,1.0244797468185425
263,791,0.02146506868302822,,
264,794,,,1.0200172662734985
264,794,0.027507184073328972,,
265,797,,,1.0255687236785889
265,797,0.03340664133429527,,
266,799,,0.02136925235390663,
266,800,,,1.0361366271972656
266,800,0.026720700785517693,,
267,803,,,1.0469013452529907
267,803,0.026648327708244324,,
268,806,,,1.035009503364563
268,806,0.01956251449882984,,
269,809,,,1.0183712244033813
269,809,0.05335576459765434,,
270,812,,,1.0088506937026978
270,812,0.07337746024131775,,
271,815,,,1.013028860092163
271,815,0.01978123001754284,,
272,818,,,1.0122497081756592
272,818,0.026984134688973427,,
273,821,,,1.0129077434539795
273,821,0.02302446961402893,,
274,824,,,1.004207968711853
274,824,0.06070500984787941,,
275,827,,,1.0051803588867188
275,827,0.02304893173277378,,
276,830,,,1.009592056274414
276,830,0.02158339135348797,,
277,833,,,1.0250859260559082
277,833,0.03595438599586487,,
278,836,,,1.039200782775879
278,836,0.01766335219144821,,
279,839,,,1.0420403480529785
279,839,0.024265596643090248,,
280,842,,,1.0386278629302979
280,842,0.021643057465553284,,
281,845,,,1.0382966995239258
281,845,0.02526518702507019,,
282,848,,,1.037988305091858
282,848,0.028845347464084625,,
283,849,,0.01612953469157219,
